x_m,y_m,s_m
7.41888,10.59806,11.11856
7.41896,10.57807,11.13856
7.41904,10.55807,11.15856
7.41912,10.53807,11.17855
7.41920,10.51807,11.19855
7.41928,10.49808,11.21855
7.41936,10.47808,11.23855
7.41944,10.45808,11.25854
7.41952,10.43808,11.27854
7.41960,10.41792,11.29854
7.41972,10.39775,11.31854
7.41984,10.37782,11.33854
7.41994,10.35799,11.35853
7.42002,10.33810,11.37853
7.42010,10.31810,11.39853
7.42018,10.29810,11.41853
7.42026,10.27810,11.43852
7.42034,10.25810,11.45852
7.42042,10.23811,11.47852
7.42050,10.21811,11.49852
7.42058,10.19811,11.51852
7.42066,10.17811,11.53851
7.42074,10.15812,11.55851
7.42082,10.13812,11.57851
7.42090,10.11812,11.59851
7.42098,10.09812,11.61850
7.42106,10.07805,11.63850
7.42116,10.05788,11.65850
7.42128,10.03778,11.67850
7.42139,10.01795,11.69850
7.42148,9.99812,11.71849
7.42156,9.97814,11.73849
7.42164,9.95814,11.75849
7.42172,9.93814,11.77849
7.42180,9.91814,11.79848
7.42188,9.89815,11.81848
7.42196,9.87815,11.83848
7.42204,9.85815,11.85848
7.42212,9.83815,11.87848
7.42220,9.81816,11.89847
7.42228,9.79816,11.91847
7.42236,9.77808,11.93847
7.42246,9.75791,11.95847
7.42258,9.73781,11.97847
7.42270,9.71798,11.99846
7.42278,9.69816,12.01846
7.42286,9.67817,12.03846
7.42294,9.65818,12.05846
7.42302,9.63818,12.07845
7.42310,9.61818,12.09845
7.42318,9.59818,12.11845
7.42326,9.57819,12.13845
7.42334,9.55819,12.15845
7.42342,9.53819,12.17844
7.42350,9.51819,12.19844
7.42358,9.49819,12.21844
7.42366,9.47812,12.23844
7.42376,9.45795,12.25843
7.42388,9.43785,12.27843
7.42400,9.41802,12.29843
7.42408,9.39820,12.31843
7.42416,9.37821,12.33843
7.42424,9.35821,12.35842
7.42432,9.33821,12.37842
7.42440,9.31822,12.39842
7.42448,9.29822,12.41842
7.42456,9.27822,12.43841
7.42464,9.25822,12.45841
7.42472,9.23823,12.47841
7.42480,9.21823,12.49841
7.42488,9.19823,12.51841
7.42496,9.17816,12.53840
7.42506,9.15798,12.55840
7.42518,9.13789,12.57840
7.42529,9.11805,12.59840
7.42538,9.09823,12.61840
7.42546,9.07824,12.63839
7.42554,9.05825,12.65839
7.42562,9.03825,12.67839
7.42570,9.01825,12.69839
7.42578,8.99825,12.71838
7.42586,8.97826,12.73838
7.42594,8.95826,12.75838
7.42602,8.93826,12.77838
7.42610,8.91826,12.79838
7.42618,8.89827,12.81837
7.42626,8.87819,12.83837
7.42635,8.85802,12.85837
7.42648,8.83792,12.87837
7.42659,8.81809,12.89836
7.42668,8.79827,12.91836
7.42676,8.77828,12.93836
7.42684,8.75828,12.95836
7.42692,8.73829,12.97836
7.42700,8.71829,12.99835
7.42708,8.69829,13.01835
7.42716,8.67829,13.03835
7.42724,8.65829,13.05835
7.42732,8.63830,13.07834
7.42740,8.61830,13.09834
7.42748,8.59830,13.11834
7.42756,8.57815,13.13834
7.42767,8.55780,13.15834
7.42784,8.53761,13.17833
7.42810,8.51287,13.19833
7.42959,8.48784,13.21833
7.43132,8.46268,13.23833
7.43518,8.43166,13.25828
7.44017,8.40576,13.27828
7.44416,8.38561,13.29828
7.44827,8.36544,13.31828
7.45273,8.34369,13.33827
7.45834,8.31937,13.35826
7.46415,8.29731,13.37826
7.46936,8.27764,13.39826
7.47465,8.25795,13.41826
7.48046,8.23641,13.43825
7.48769,8.21216,13.45824
